area_name_jp,area_name_kana,slug,public_php,source_html,expected_url,page_title,meta_description,h1,main_image,shop_image,map_url,map_title,status,has_placeholder,has_broken_image_candidate,has_noindex,has_json_ld,has_faq,notes
"喜入生見町","不明","kiireikemicho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kiireikemicho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kiireikemicho.html","https://www.55810.com/kagoshima-deliveryhealth-area-kiireikemicho.php","鹿児島市喜入生見町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「喜入生見町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市「喜入生見町」で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kiireikemicho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27269.72215121584!2d130.53179802085612!3d31.31161389896993!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e7f33786f24c1%3A0x3706474ea6bc3a54!2z44CSODkxLTAyMDYg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5Zac5YWl55Sf6KaL55S6!5e0!3m2!1sja!2sjp!4v1772437835470!5m2!1sja!2sjp","鹿児島市喜入生見町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"喜入一倉町","不明","kiireikkuracho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kiireikkuracho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kiireikkuracho.html","https://www.55810.com/kagoshima-deliveryhealth-area-kiireikkuracho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kiireikkuracho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり; 画像パス切れ候補","あり","あり","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"喜入前之浜町","不明","kiiremaenohamacho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kiiremaenohamacho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kiiremaenohamacho.html","https://www.55810.com/kagoshima-deliveryhealth-area-kiiremaenohamacho.php","鹿児島市喜入前之浜町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「喜入前之浜町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市「喜入前之浜町」で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kiiremaenohamacho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27263.163428432737!2d130.54518930250433!3d31.334260939082725!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e7924357997c1%3A0xc1e0a8d7cbf6d182!2z44CSODkxLTAyMDUg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5Zac5YWl5YmN5LmL5rWc55S6!5e0!3m2!1sja!2sjp!4v1772511738389!5m2!1sja!2sjp","鹿児島市喜入前之浜町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"不明","不明","kiirenakamyoch","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kiirenakamyoch.php","不明","/kagoshima-deliveryhealth-area-kiirenakamyoch.php","不明","不明","不明","未設定/未確認","未設定/未確認","未設定/未確認","未設定/未確認","source HTMLなし; 未確認","なし","なし","なし","なし","なし","area_name_jp根拠: 不明; meta keywordsなし; HTML未確認"
"不明","不明","kiirenakamyocho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kiirenakamyocho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kiirenakamyocho.html","https://www.55810.com/kagoshima-deliveryhealth-area-kiirenakamyocho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kiirenakamyocho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: 不明; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"喜入瀬々串町","不明","kiiresesekushicho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kiiresesekushicho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kiiresesekushicho.html","https://www.55810.com/kagoshima-deliveryhealth-area-kiiresesekushicho.php","鹿児島市喜入瀬々串町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「喜入瀬々串町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市「喜入瀬々串町」で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kiiresesekushicho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27238.8088561642!2d130.49019707108332!3d31.418228095799623!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e7aff7f58f727%3A0x3d6f1f91cf712dcf!2z44CSODkxLTAyMDEg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5Zac5YWl54Cs44CF5Liy55S6!5e0!3m2!1sja!2sjp!4v1772423617087!5m2!1sja!2sjp","鹿児島市喜入瀬々串町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"錦江町","不明","kinkocho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kinkocho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kinkocho.html","https://www.55810.com/kagoshima-deliveryhealth-area-kinkocho.php","鹿児島市錦江町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「錦江町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市錦江町で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kinkocho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6798.244766346967!2d130.56066819590538!3d31.575691646754528!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e60baee1dd2e5%3A0x3fff96d61defea20!2z44CSODkyLTA4MzYg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC6Yym5rGf55S6!5e0!3m2!1sja!2sjp!4v1770003782917!5m2!1sja!2sjp","鹿児島市 錦江町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"錦江台","不明","kinkodai","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kinkodai.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kinkodai.html","https://www.55810.com/kagoshima-deliveryhealth-area-kinkodai.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kinkodai_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"金生町","不明","kinseicho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kinseicho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kinseicho.html","https://www.55810.com/kagoshima-deliveryhealth-area-kinseicho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kinseicho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"小松原","不明","komatsubara","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-komatsubara.php","不明","/kagoshima-deliveryhealth-area-komatsubara.php","不明","不明","不明","未設定/未確認","未設定/未確認","未設定/未確認","未設定/未確認","source HTMLなし; 未確認","なし","なし","なし","なし","なし","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; HTML未確認"
"不明","不明","koraicho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-koraicho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-koraicho.html","https://www.55810.com/kagoshima-deliveryhealth-area-koraicho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-koraicho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: 不明; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"郡元","不明","korimoto","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-korimoto.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-korimoto.html","https://www.55810.com/kagoshima-deliveryhealth-area-korimoto.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-korimoto_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"郡元町","不明","korimotocho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-korimotocho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-korimotocho.html","https://www.55810.com/kagoshima-deliveryhealth-area-korimotocho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-korimotocho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"郡山町","不明","koriyamacho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-koriyamacho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-koriyamacho.html","https://www.55810.com/kagoshima-deliveryhealth-area-koriyamacho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-koriyamacho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"郡山岳町","不明","koriyamadakecho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-koriyamadakecho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-koriyamadakecho.html","https://www.55810.com/kagoshima-deliveryhealth-area-koriyamadakecho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-koriyamadakecho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"甲突町","不明","kotsukicho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-kotsukicho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-kotsukicho.html","https://www.55810.com/kagoshima-deliveryhealth-area-kotsukicho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-kotsukicho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり; 画像パス切れ候補","あり","あり","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"皇徳寺台","不明","koutokujidai","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-koutokujidai.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-koutokujidai.html","https://www.55810.com/kagoshima-deliveryhealth-area-koutokujidai.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-koutokujidai_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"小山田町","不明","koyamadacho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-koyamadacho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-koyamadacho.html","https://www.55810.com/kagoshima-deliveryhealth-area-koyamadacho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-koyamadacho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"向陽","不明","koyo","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-koyo.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-koyo.html","https://www.55810.com/kagoshima-deliveryhealth-area-koyo.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-koyo_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり; 画像パス切れ候補","あり","あり","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"永吉","不明","nagayoshi","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-nagayoshi.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-nagayoshi.html","https://www.55810.com/kagoshima-deliveryhealth-area-nagayoshi.php","鹿児島市永吉で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「永吉」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市永吉で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-nagayoshi_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d9433.250625570347!2d130.52302466610126!3d31.603883029543972!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e5d8b53c757d5%3A0x6463eb2e2a186201!2z44CSODkwLTAwMjMg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5rC45ZCJ!5e1!3m2!1sja!2sjp!4v1774658448788!5m2!1sja!2sjp","鹿児島市永吉の地図","PHP/HTML対応あり; ローカル作成済み; 公開URL 404確認","なし","なし","あり","あり","あり","Text_area_data\永吉_テンプレート.txt反映; dataset_base.php反映済み; 本番反映は別工程"
"小原町","不明","obaracho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-obaracho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-obaracho.html","https://www.55810.com/kagoshima-deliveryhealth-area-obaracho.php","鹿児島市小原町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「小原町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市小原町で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-obaracho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4808.769309954111!2d130.52462648136117!3d31.54301294967584!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e669368cf1f1b%3A0x9d8ee6af4cbb23de!2z44CSODkxLTAxMTEg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5bCP5Y6f55S6!5e0!3m2!1sja!2sjp!4v1772088775026!5m2!1sja!2sjp","鹿児島市小原町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"小川町","不明","ogawacho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-ogawacho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-ogawacho.html","https://www.55810.com/kagoshima-deliveryhealth-area-ogawacho.php","鹿児島市小川町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「小川町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市小川町で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-ogawacho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4845.185872409508!2d130.5587184266448!3d31.599133243244697!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e5e0f76c0fce3%3A0x1ee8dd91401708a1!2z44CSODkyLTA4MTcg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5bCP5bed55S6!5e1!3m2!1sja!2sjp!4v1772149593466!5m2!1sja!2sjp","鹿児島市小川町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"岡之原町","不明","okanoharacho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-okanoharacho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-okanoharacho.html","https://www.55810.com/kagoshima-deliveryhealth-area-okanoharacho.php","鹿児島市岡之原町で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「岡之原町」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市岡之原町で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-okanoharacho_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3395.6921244949312!2d130.54822641174906!3d31.669641839643084!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e5c1aafae2e33%3A0xb8944c435bca6dca!2z44CSODkxLTEyMDEg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5bKh5LmL5Y6f55S6!5e0!3m2!1sja!2sjp!4v1772067771270!5m2!1sja!2sjp","鹿児島市岡之原町の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"小野","不明","ono","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-ono.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-ono.html","https://www.55810.com/kagoshima-deliveryhealth-area-ono.php","鹿児島市小野で呼べるデリヘル｜対応店舗・ホテル情報","鹿児島市「小野」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島「小野」で呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-ono_1.jpg","./imgHtml/new_202601/shop/candy.jpg","https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d16546.604669395307!2d130.50687830882168!3d31.611790258882927!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x353e5d838c8cc33d%3A0x498b298807c8d619!2z44CSODkwLTAwMjEg6bm_5YWQ5bO255yM6bm_5YWQ5bO25biC5bCP6YeO!5e1!3m2!1sja!2sjp!4v1772000499284!5m2!1sja!2sjp","鹿児島市小野の地図","PHP/HTML対応あり; 確認済み","なし","なし","あり","あり","あり","meta keywordsなし"
"不明","不明","oroshihommachi","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-oroshihommachi.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-oroshihommachi.html","https://www.55810.com/kagoshima-deliveryhealth-area-oroshihommachi.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-oroshihommachi_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり; 画像パス切れ候補","あり","あり","あり","あり","あり","area_name_jp根拠: 不明; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"坂元町","不明","sakamotocho","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-sakamotocho.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-sakamotocho.html","https://www.55810.com/kagoshima-deliveryhealth-area-sakamotocho.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-sakamotocho_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"坂之上","不明","sakanoue","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-sakanoue.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-sakanoue.html","https://www.55810.com/kagoshima-deliveryhealth-area-sakanoue.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-sakanoue_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
"桜ヶ丘","不明","sakuragaoka","H:\Data\01_CTI\candy_HP\kagoshima-deliveryhealth-area-sakuragaoka.php","H:\Data\01_CTI\candy_HP\source\kagoshima-deliveryhealth-area-sakuragaoka.html","https://www.55810.com/kagoshima-deliveryhealth-area-sakuragaoka.php","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル｜対応店舗・ホテル情報","鹿児島「aaaaaaaaaaaaaaaaaaaa」で呼べる人気デリヘル店舗情報！交通費・ホテル一覧も掲載中！","鹿児島市aaaaaaaaaaaaaaaaaaaaで呼べるデリヘル","./imgHtml/new_202601/area/kagoshima-deliveryhealth-area-sakuragaoka_1.jpg","未設定/未確認","aaaaaaaaaaaaaaaaaaaa","aaaaaaaaaaaaaaaaaaaa","PHP/HTML対応あり; placeholderあり","あり","なし","あり","あり","あり","area_name_jp根拠: area.htmlリンク文字; meta keywordsなし; JSON-LD構文不正候補; Map placeholder"
